LaoWord,English,Pronunciation,Type
ກ,the first consonant of Lao alphabet,kor,n
ກະ,estimate work,ká,Adj
ກະການ,guest,kákan,v
ກະການ,estimate,kákanvai,v
ກະການໄວ້,guest,kákanvai,v
ກະການໄວ້,estimate,kákanvai,v
ກະການເບິ່ງ,guest,kákanbeung,v
ກະການເບິ່ງ,estimate,kákanva,v
ກະການວ່າ,guest,kákanva,v
ກະການວ່າ,estimate,kákan-oa,v
ກະການເອົາ,guest,kákan-oa,v
ກະການເອົາ,estimate,kákanhai,v
ກະການໃຫ້,oblige,kákanhai,v
ກະການໃຫ້,require,káken,v
ກະການໃຫ້,exact,káken,v
ກະເກນ,prepare,káken,v
ກະກຽມ,the five wise men,kákem,v
ກະກຸສັນໂທ,the five royal accoutrements,ka ku san tho,n
ກະກຸທະພັນ,dynasty,ka ku tha phan,n
ກະກຸທະພັນ,family,ka kun,n
ກະກຸນ,corvee,ka kun,n
ກະກຸນ,forced labor,ka ken kan,n
ກະເກນການ,project,ka ken kan,n
ກະເກນການ,plan,kákhongkan,n
ກະໂງການ,brilliant clear,kákhongkan,n
ກະຈະ,average person,kája,adj
ກະຈາ,a large wicker fish trapaverage person,kája,adj
ກະຈູ້,plate,káju,n
ກະຈູ້,panner,ká jart,n
ກະຈາດ,face powder,ká jart,n
ກະຈາດ,scented powder,ká jae,n
ກະແຈະ,spread,ká jae,n
ກະແຈະ,scatter,ká jai,v
ກະແຈະ,disseminate,ká jai,v
ກະຈາຍ,broadcast,ká jai,v
ກະຈາຍສຽງ,parse,ká jaisieng,v
ກະຈາຍຄຳ,conjugate,ka chay kham,v
ກະຈາຍຄຳກິລິຍາ,open ranks,ka chay kham ki li nya,v
ກະຈາຍຄຳກິລິຍາ,spread out in line,ka chay thaev,v
ກະຈາຍແຖວ,decentralize,ka chay thaev,v
ກະຈາຍອອກໄປ,decentralize,ka chat ok pai,v
ກະແຈ,key,ká jae,n
ກະແຈ,lock,ká jae,n
ກະແຈດານ,locking bar,ká jaedan,n
ກະແຈມື,handcuffs,ká jaemeu,n
ກະແຈວຽນ,epiphytic fern,ká jaevien,n
ກະແຈວຽນ,used medicinally for sores,ká jaevien,n
ກະເຈາະກະຈອກ,happy,ká jua kájuak,adj
ກະເຈົາ,jute,ká jao,n
ກະເຈົາ,corchorus capsularis,ká jao,n
ກະຈຸກ,bunch or bunch of grass,ká jouk,n
ກະຈຸກກະຈິກ,trifling,ká joukkajik,adj
ກະຈຸກກະຈິກ,trivial,ká joukkajik,adj
ກະຈັຽະກະຈຽກ,happy,ka cia ka ciak,adj
ກະຈົວະກະຈວກ,press for something,kájankajor,v
ກະຈົກ,Mirror,kájok,n
ກະຈົກ,glass,kájok,n
ກະຈົກແຍງຫນ້າ,mirror,kájokjaengna,n
ກະຈົກແກ້ວ,mirror,kájokkeo,n
ກະຈົກແກ້ວ,looking glass,kájokkeo,n
ກະຈົກລົດຍົນ,windshield,kájoklotyon,n
ກະຈອນ,earning,ka chon,n
ກະຈອນຍອຍ,earning with pendant,ka chon nyoy,n
ກະຈອນຫູ,earning,ka chon hu,n
ກະຈອ້ນ,squirrel,kájon,n
ກະຈັງ,water chestnut,kájarb,n
ກະຈັງ,caltrop,kájarb,n
ກະຈອກ,sparrow,kájork,n
ກະຈາງ,bird of one of the following species,kájarb,n
ກະຈິງ,bird of one of the following species,kájip,n
ກະຈັງ,design in squares,kájang,n
ກະຈ່າງ,clear,kájarng,adj
ກະຈ່າງ,light,kájarng,adj
ກະຈ່າງ,bright,kájarng,adj
ກະຈົງ,mouse deer,kájong,n
ກະຈຽວ,edible flower,kájiew,n
ກະຈຽວຂາວ,plant,kájiew khao,n
ກະຈຽວຂາວ,edible flower,kájiew khao,n
ກະຈຽວຂາວ,curcuma,kájiew khao,n
ກະຈຽວແດງ,medical plant,kájiew daeng,n
ກະຈຽວແດງ,curcuma,kájiew daeng,n
ກະຈຽວລາຍ,plant,kájiew lai,n
ກະຈຽວລາຍ,curcuma parviflora,kájiew lai,n
ກະຈຸຍ,scattered in disorder,ká chuy,adv
ກະຈຸຍກະຈາຍ,disorderly,ka chay ka chay,adj
ກະໂຈມ,Crown,ká chom,n
ກະໂຈມຫົວ,turban,ka chom hua,n
ກະຈັດ,Destroy,kájad,vi
