,Japanese,Lao,phonetic alphabet,English
,愛,ຮັກ ,hak, love
,愛,ຮັກແພງກັນ ,hak phaeng kan, love each other
,愛,ຄວາມຮັກ ,khwaam hak, love
,相変わらず,ຕາມເຄີຍ ,taam khery, usually
,相変わらず,ຄືເກົ່າ ,kheu kao1, as before
,相変わらず,ຕາມປົກກະຕິ ,taam pok ka ti , usually
,愛国心,ລັດທິຊາດນິຍົມ ,lat thi xaat ni nyom, patriotism
,愛国心aikokushin,ຮັກຊາດ ,hak xaat, patriotism
,愛妻家,ເມຍທີ່ຮັກ ,meey thii1 hak, devoted husband
,挨拶,ການທັກທາຍ ,kaan thak thaay , greeting
,挨拶,ຖາມກັນ ,htaam kan, greeting
,愛称aishoo,ຊື່ນ້ອຍ ,xeu1 nohy2, nick name
,愛称aishoo,ຊື່ຫລີ້ນ ,xeu1 lin2, nick name
,愛情,ຄວາມຮັກ ,khwaam hak, love
,愛人aijin,ເມຍນ້ອຍ ,meey nohy2, mistress
,合図,ໃຫ້ສັນຍານ ,hhay2 san nyaan, give sign
,アイスクリーム,ກະແລມ ,ka laem, ice - cream
,アイスコーヒー,ນ້ຳໂອລ້ຽງ ,nam2 oo liang2, ice coffee
,間にaida,ລະຫວ່າງ ,la hhwaang1, between
,あいつaitsu,ມັນ ,man," it, he,"
,あいつaitsu,ຫມໍນັ້ນ ,hmoh nan2 ," it, he,"
,空いて,ຫວ່າງ ,hhwaang1, free
,空いて,ຫວ່າງ ,hhwaang1, free
,アイデア,ຄວາມຄິດ ,khwaam khit, thinking
,アイデア,ຄວາມຄຶດ ,khwaam khuet, thinking
,アイロン,ລີດເຄືອງນຸ່ງ ,liit kheuang nung1, iron
,アイロン,ລີດຜ້າ ,liit hpaa2, iron
,合う,ເຂົ້າກັນ ,hkao2 kan, get along with
,会う,ເຈິກັນ ,joe kan, meet
,会う,ພົບ ,phop, meet 
,会う,ພົບກັນ ,phop kan, meet
,合う,ພໍດີ ,phoh dii, get along with
,合う,ພໍດີກັນ ,phoh dii kan, get along with
,青,ສີຟ້າ ,sii faa2, blue
,青い,ສີຟ້າ ,sii faa2, blue
,赤,ສີແດງ ,sii daeng, red
,赤い,ສີແດງ ,sii daeng, red
,赤い,ແດງ ,daeng, red
,赤貝,ຫອຍແຄງ ,hhohy khaeng, ark shell
,赤ちゃんakachan,ເດັກນ້ອຍເກີດໃຫມ່ ,dek nohy2 kert hmay1, baby
,明かりakari,ແສງໄຟ ,saeng fai, light
,上がる,ຂຶ້ນ ,hkuen2, rise
,明るい,ແຈ້ງ ,jaeng2, bright
,明るい,ສະຫວ່າງ ,sa hhwaang1, bright
,明るい,ໄສ ,sai, bright
,赤ワイン,ວາຍແດງ ,waay daeng, red wine
,秋,ລະດູໃບໄມ້ລົ່ນ ,la duu bay mai2 lon1, autumn
,商う,ຄ້າ ,khaa2, trade
,明らか,ແນ່ໃຈ ,nae1 jay," surely, clearly "
,あきらめるakirameru,ເຊົາ ,xao, resign to (v)
,あきらめるakirameru,ຕັດໃຈ ,tat jay, resign to (v)
,あきらめるakirameru,ເລີກ ,lerk, resign to (v)
,飽きる,ເບື່ອ ,beua1 ," sick and tired, bore"
,飽きる,ເບື່ອຫນ່າຍ ,beua1 hnaay1," sick and tired, bore"
,開く,ເປີດ ,pert, open
,アクセサリー,ເຄື່ອງປະດັບ ,kheuang1 pa dap, jewelry
,アクセサリーakusesarii,ເຄື່ອງປະດັບກາຍ ,kheuang1 pa dap kaay , jewelry
,開ける,ໄຂ ,hkai, open
,開ける,ເປີດ ,pert, open
,揚げる,ຈືນ ,jeun, fry
,上げる,ຍົກ ,nyok, lift
,上げるageru,ຍົກຂື້ນ ,nyok hkeun2, lift
,揚げる,ທອດ ,thoht, fry
,あげる,ໃຫ້ ,hhay2, give
,あげるageru,ເອົາໃຫ້ ,ao hhay2, give
,あこがれる,ຊອກຫາ ,xohk hhaa, look for
,あこがれる,ໃຝ່ຫາ ,hfay1 hhaa, look for
,朝,ຕອນເຊົ້າ ,tohn xao2, morning
,朝,ມື້ເຊົ້າ ,meu2 xao2, morning
,浅い,ຕື້ນ ,teun2, shallow
,朝市,ຕະຫລາດເຊົ້າ ,ta hlaat xao2, morning market
,朝顔,ດອກບານເຊົ້າ ,dohk baan xao2, morning glorly
,あさってasa¿te,ມື້ຮື ,meu2 heu, day after tomorrow
,朝日,ຕາເວັນຂື້ນ ,taa wen hkeun2, sunrise
,味がうすいaji,ຈາງ ,jaang, tasteless
,脚,ຂາ ,hkaa, leg
,足,ຕີນ ,tiin, foot
,足,ຝາຕີນ ,hfaa tiin, foot
,味,ລົດຊາດ ,lot xaat, taste
,アジア,ອາຊີ ,aa xii, Asia
,足裏マッサージ,ນວດຕີນ ,nuat tiin, foot massage
,足裏マッサージ,ນວດຝາຕີນ ,nuat hfaa tiin, foot massage
,あしたashita,ມື້ອື່ນ ,meu2 eun1, tomorrow
,味付け,ປຸງລົດຊາດ ,pung lot xaat, add seasonings
,味の素,ແປ້ງນົວ ,paeng2 nua, season powder
,足踏み,ຢ້ຳເທົ້າ ,yam2 thao2, stamp one' feet
,味見,ຊີມ ,xiim, taste
,味見,ຊີມເບິ່ງ ,xiim boeng1, taste
,あす,ມື້ອື່ນ ,meu2 eun1, tomorrow
,預かるazukaru,ໄດ້ຮັບ ,dai2 hap, receive
,預かる,ເອົາ ,ao, receive
,預かる,ຮັບ ,hap, receive
,あずき,ຫມາກຖົ່ວດຳ ,hmaak htua1 dam, black bean
,預けるazukeru,ຝາກ ,hfaak," deposit, entrust"
,預けるazukeru,ຝາກໃວ້ ,hfaak way2, leave (n)
,汗,ເຫື່ອ ,hheua1, sweat
,焦る,ພ້າວ ,phaaw2, be in a hurry
,あそこasoko,ທາງພຸ້ນ ,thaang phun2, over there
,あそこ,ພຸ້ນ ,phun2, over there
,あそこ（の）,ພຸ້ນ ,phun2, over there
,あそこ（に）asoko,ຢູ່ພຸ້ນ ,yuu1 phun2, over there
,あそこ,ຫັ້ນ ,hhan2, that
,遊び,ໄປທ່ຽວ ,pai thiaw1 , go out for pleasure
,遊び,ໄປຫລີ້ນ ,pai hlin2, go out for pleasure
,遊び,ຫລີ້ນ ,hlin2, play
,遊ぶ,ຫລີ້ນ ,hlin2, play
,与える,ໃຫ້ ,hhay2, give
,暖かいatatakai,ອຸ່ນ ,un1, warm
,暖かいatatakai,ອົບອຸ່ນ ,op un1, warm
,暖める,ອຸ່ນເຄື່ອງ ,un1 kheuang1, warm up
,頭が良い,ສະຫລາດ ,sa hlaat," intelligent, clever"
,頭が良い,ຫົວດີ ,hhua dii," intelligent, clever"
,頭,ຫົວ ,hhua, head
,新しいatarashii,ໃຫມ່ ,hmay1, new
,あたり前,ຕາມປົກກະຕິ ,taam pok ka ti, normally
,あたり前,ປົກກະຕິ ,pok ka ti, normal
,厚い,ຕຶບ ,tuep, thick 
,厚い,ຫນາ ,hnaa, thick
,暑い,ຮ້ອນ ,hohn2, hot
,熱い,ຮ້ອນ ,hohn2, hot
,あつかましい,ຫນ້າດ້ານ ,hnaa2 daan2, shameless
,あつかましい,ຫນ້າມຶນ ,hnaa2 muen, shameless
,暑さ,ຄວາມຮ້ອນ ,khwaam hohn2, heat
,集まるatsumaru,ຮ່ວມກັນ ,huam1 kan, all together
,集める,ທ້ອນໂຮມ ,thohn2 hoom, collect
,当てる,ຖືກ ,hteuk, correctly
,当てる,ເຮັດໃຫ້ຖືກເປົ້າຫມາຍ ,het hhay2 hteuk pao2 hmaay, make a good hit at a target
,あと（～）ato,ຍັງເຫລືອ ,nyang hleua, ~ remaining
,（～の）後（で、に）,ຫລັງຈາກ ,hlang jaak, after ~
,あとでato,ຕາມຫລັງ ,taam hlang, later
,あとで,ທີຫລັງ ,thii hlang, later
